c	Mes	Año	Departamento	Municipio	Lugar de Ocurrencia	Tipo de Hecho	Tipo de Bien	Tipo de Implicado (1)	Tipo de Implicado	Víctimas Fatales	Lesionados	Fuente																	
28	10	1988	Risaralda			Sabotaje	Infraestructura Eléctrica	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 43																	
28	10	1988	Tolima			Sabotaje	Infraestructura Eléctrica	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 43																	
29	10	1988	Antioquia	Chigorodó	Cabecera Municipal	Ataque a Organizaciones	Sede de Partido Político	Grupo Armado No Identificado	Grupo Armado No Identificado	 	1	Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 43																	
1	11	1988	Cesar			Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 65																	
3	11	1988	Santander		Sitio Puente Rojo	Ataque a Propiedad	Medios de Transporte	Guerrilla	Guerrilla-ELN	 	1	Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 65																	
4	11	1988	Santander	Sabana de Torres	Sitio La Laguna y Sitio La Sabina	Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 65																	
5	11	1988	Tolima	Rovira	Inspección Andes	Ataque a Propiedad	Medios de Transporte	Guerrilla	Guerrilla-M-19			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 65																	
6	11	1988	Valle del Cauca	Jamundí		Sabotaje	Infraestructura Eléctrica	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 65																	
15	11	1988	Santander			Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 66																	
18	11	1988	Antioquia	San Juan		Sabotaje	Infraestructura Eléctrica	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 66																	
19	11	1988	Santander	Sabana de Torres	Inspección Sabaneta	Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Octubre-Diciembre 1988. Volumen 1, N°.4. Pp. 67																	
